Reference, Value, Footprint, Datasheet, Manufacturer PN, ManPN, Man PN
T_SCREW_1,CONN_01X01,mounting_screw:mounting_screw,
T_SCREW_2,CONN_01X01,mounting_screw:mounting_screw,
T_SCREW_3,CONN_01X01,mounting_screw:mounting_screw,
F1,FUSE,Fuse_Holders_and_Fuses:Fuse_SMD2920,,MF-LSMF260X-2,,
D1,DIODE,Diodes_SMD:Diode-SMA_Standard,,B340-13-F,,
R2,10,Resistors_SMD:R_0603,
C1,1uf 100v,Capacitors_SMD:C_1206,
Q1,Q_PNP_BEC,Housings_SOT-23_SOT-143_TSOT-6:SOT-23,,MMBT3906,,
R3,100k,Resistors_SMD:R_0603,
D2,ZENER,Diodes_SMD:SOD-123,,BZT52C16-7-F,,
R4,27.4k,Resistors_SMD:R_0603,
C19,1uf 100v,Capacitors_SMD:C_1206,
R47,10,Resistors_SMD:R_0603,
C20,.1uf 100v,Capacitors_SMD:C_1206,
R48,10.2k,Resistors_SMD:R_0603,
D10,D_Schottky_x2_Serial_AKC,Transistors_SMD:sc70,,BAV99WT1G,,
R46,33.2k,Resistors_SMD:R_0603,
D3,ZENER,Diodes_SMD:SOD-123,,BZT52C16-7-F,,
Q2,Si3407DV,Power:Si3407DV,
U4,TPS563200,Housings_SOT-23_SOT-143_TSOT-6:SOT-23-6,
C21,22uf,Capacitors_SMD:C_1206,,GRM31CR61E226ME15L,,
C22,100nf,Capacitors_SMD:C_0603,
R51,56.2k,Resistors_SMD:R_0603,
R52,10k,Resistors_SMD:R_0603,
L3,3.3uh,NRS8030:NRS8030T3R3MJGJ,,NRS8030T3R3MJGJ,,
R50,10K,Resistors_SMD:R_0603,
R49,10K,Resistors_SMD:R_0603,
C23,47uf,Capacitors_SMD:C_1206,,GRM31CE70J476ME15L,,
Q5,MOS_N_numbered,Housings_SOT-23_SOT-143_TSOT-6:SOT-23,,DMG2302U,,
